Nested Sampling Global Log-Evidence           :   -0.233436229404009232E+01  +/-    0.479852591218808133E+00
Nested Importance Sampling Global Log-Evidence:   -0.233436229404009277E+01  +/-    0.948683298050513768E+00

Dim No.       Mean        Sigma
   1    0.484222819156885187E+01    0.000000000000000000E+00
   2    0.627621817195415516E-01    0.000000000000000000E+00
   3   -0.137884097099304199E+02    0.000000000000000000E+00
   4   -0.102669692039489746E+01    0.000000000000000000E+00
   5   -0.128124475479125977E+01    0.000000000000000000E+00
   6    0.675249338150024414E+00    0.000000000000000000E+00
   7   -0.423270702362060547E+00    0.000000000000000000E+00
   8    0.114422468800544741E+00    0.000000000000000000E+00
   9    0.390157107041060947E+01    0.000000000000000000E+00
  10   -0.157399815917015076E+02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.484222819156885187E+01
   2    0.627621817195415516E-01
   3   -0.137884097099304199E+02
   4   -0.102669692039489746E+01
   5   -0.128124475479125977E+01
   6    0.675249338150024414E+00
   7   -0.423270702362060547E+00
   8    0.114422468800544741E+00
   9    0.390157107041060947E+01
  10   -0.157399815917015076E+02

MAP Parameters
Dim No.        Parameter
   1    0.484222819156885187E+01
   2    0.627621817195415516E-01
   3   -0.137884097099304199E+02
   4   -0.102669692039489746E+01
   5   -0.128124475479125977E+01
   6    0.675249338150024414E+00
   7   -0.423270702362060547E+00
   8    0.114422468800544741E+00
   9    0.390157107041060947E+01
  10   -0.157399815917015076E+02
