Nested Sampling Global Log-Evidence           :   -0.109084619313462579E+02  +/-    0.492264175831512718E+00
Nested Importance Sampling Global Log-Evidence:   -0.167146727492068408E+02  +/-    0.735493788694627365E-01

Dim No.       Mean        Sigma
   1    0.296974634786387393E+01    0.152049533913150503E+01
   2    0.303960264540482505E+01    0.182664762899913669E+01
   3    0.365530790230986735E+01    0.149006905972953607E+01
   4    0.290614153895523764E+01    0.151759280206720515E+01
   5    0.267695776760428439E+01    0.159896807929002871E+01
   6    0.223078982778866384E+04    0.176550521694909639E+04
   7    0.789251481614568888E+02    0.147527741759929143E+03
   8    0.571609935793184221E+01    0.224136528696826254E+01
   9    0.635709598982637569E+01    0.229768286208547767E+01
  10    0.128389966125895427E+00    0.899733415678642845E+00
  11    0.346806110868027506E+01    0.145520705824275520E+01
  12    0.366672035319579637E+01    0.124209662314540203E+01
  13    0.520208529410553290E-10    0.251202463717071043E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.561449237610069041E+01
   2    0.336705197746414209E+01
   3    0.299071294213784045E+01
   4    0.444422881441918527E+01
   5    0.172398220516927925E+01
   6    0.339900743329101090E+03
   7    0.164064449978359107E+03
   8    0.683227432022070946E+01
   9    0.279509492724267172E+01
  10   -0.129261024997773255E-02
  11    0.506592936193199872E+01
  12    0.375348114510296726E+01
  13    0.384077590248748705E-10

MAP Parameters
Dim No.        Parameter
   1    0.129040118272849358E+01
   2    0.156674843495192873E+01
   3    0.149137311397392103E+01
   4    0.435512497027026413E+01
   5    0.491401000114604347E+01
   6    0.432512976138011891E+04
   7    0.269590573667275013E+01
   8    0.250112205546086752E+01
   9    0.792081369517990197E+01
  10    0.159652663759069169E+01
  11    0.243515583617920273E+01
  12    0.479319431335569490E+01
  13    0.884331599337577872E-10
