Nested Sampling Global Log-Evidence           :   -0.160446739816943418E+01  +/-    0.179294780004580850E+00
Nested Importance Sampling Global Log-Evidence:   -0.472915704748519872E+01  +/-    0.658798815279546673E-01

Dim No.       Mean        Sigma
   1    0.293889760225481389E+01    0.154477991166414497E+01
   2    0.322540342309146988E+01    0.159207180233429990E+01
   3    0.321016535453185714E+01    0.181737011617615618E+01
   4    0.246063554618914493E+00    0.215859818489286953E+00
   5    0.579138199076520768E-02    0.610095953324733681E-01
   6    0.318002960756884478E+01    0.311142979565111375E+02
   7   -0.266676545560100342E+00    0.396935469270995034E+01
   8    0.321858672355560493E+01    0.158710971723214378E+01
   9    0.268918676534192835E+01    0.174056881771892735E+01
  10    0.470125849949256481E-10    0.267779105898657572E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.408246316673924792E+01
   2    0.419297111899672714E+01
   3    0.258139689982827480E+01
   4    0.414954816797072096E-02
   5    0.537472325643150173E-01
   6    0.999775044341608066E+01
   7   -0.631746440014396171E+01
   8    0.413096598911275326E+01
   9    0.302572611927477908E+01
  10    0.715316145585396064E-10

MAP Parameters
Dim No.        Parameter
   1    0.622962459424316872E+01
   2    0.436971007401347222E+01
   3    0.218320608132958416E+01
   4    0.164826472330093371E+00
   5    0.592482805252075306E-01
   6    0.197643637657165527E+02
   7    0.612131357192993164E+00
   8    0.151935480166494852E+01
   9    0.144232501503229149E+01
  10    0.142411585956811922E-10
