Nested Sampling Global Log-Evidence           :   -0.560019357893171499E+01  +/-    0.112771576389681397E+00
Nested Importance Sampling Global Log-Evidence:   -0.768463244435642423E+01  +/-    0.782501872489736600E-01

Dim No.       Mean        Sigma
   1    0.321008174985737904E+01    0.167338058987776783E+01
   2    0.325014571618589931E+01    0.157414665798724696E+01
   3    0.341920171922018312E+01    0.163164988166498404E+01
   4    0.124880258289933235E-01    0.221096826663628107E-01
   5   -0.238266039005132058E+01    0.105765470528618675E+02
   6   -0.310199949405612019E+00    0.485883979289988854E+01
   7    0.288166073779351217E+01    0.161874296941572182E+01
   8    0.324477517869129306E+01    0.154767546694006741E+01
   9    0.461579008654377432E-10    0.255566527378431706E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.441364813002006029E+00
   2    0.240793672705023054E+01
   3    0.555429202127483457E+01
   4    0.171719456949198017E-03
   5    0.287817101626330896E-01
   6   -0.530963663381334250E+01
   7    0.295464879824209170E+01
   8    0.518121756317906801E+01
   9    0.976099138882461301E-10

MAP Parameters
Dim No.        Parameter
   1    0.483619470386438088E+01
   2    0.124605426749730763E+01
   3    0.170520639003558916E+01
   4    0.105299659803529441E+00
   5    0.380078153305333899E+00
   6   -0.404140805886094601E+01
   7    0.176946171998351720E+01
   8    0.207142082424351415E+01
   9    0.490443700576316073E-10
